Stock Symbol,Price,Beta,Case in Last Week,True,False,True %,False %,True Sum %,False Sum %,True Cut off,False Cut off,True Cut off %,False Cut off %,Net Cut off %,True Sum Cut off %,False Sum Cut off %,Net Sum Cut off %
DDD,6.7,,3,24,28,0.46153846153846156,0.5384615384615384,1.139899170800987,-1.8486038260106337,24,28,0.46153846153846156,0.5384615384615384,-0.07692307692307687,1.0918991708009869,-1.9046038260106337,-0.8127046552096469
AON,198.5,,1,43,34,0.5584415584415584,0.44155844155844154,0.555292161163056,-0.5634246546319874,41,36,0.5324675324675324,0.4675324675324675,0.0649350649350649,0.469292161163056,-0.6314246546319875,-0.1621324934689315
WBAI,3.8,,,,,,,,,,,,,,,,
SPGI,355.455,,1,44,44,0.5,0.5,0.7998875523399646,-0.8488445035281537,43,45,0.48863636363636365,0.5113636363636364,-0.022727272727272707,0.7118875523399646,-0.9368445035281536,-0.22495695118818904
RYN,25.69,,1,32,44,0.42105263157894735,0.5789473684210527,0.46251588130463206,-1.2906307253184235,32,44,0.42105263157894735,0.5789473684210527,-0.1578947368421053,0.39851588130463206,-1.3786307253184236,-0.9801148440137915
AHC,1.6114,,3,31,49,0.3875,0.6125,1.1309254387395369,-1.387802936766801,31,49,0.3875,0.6125,-0.22500000000000003,1.0689254387395368,-1.485802936766801,-0.41687749802726426
BAX,85.22,,3,20,22,0.47619047619047616,0.5238095238095238,0.32785110972856474,-0.5681099024290958,19,23,0.4523809523809524,0.5476190476190477,-0.09523809523809529,0.28785110972856476,-0.6121099024290958,-0.32425879270053104
ATEN,7.326,,1,35,44,0.4430379746835443,0.5569620253164557,1.4425464106838657,-1.7434917374140138,35,44,0.4430379746835443,0.5569620253164557,-0.11392405063291139,1.3725464106838656,-1.8314917374140138,-0.4589453267301482
SEIC,55.25,,1,53,38,0.5824175824175825,0.4175824175824176,1.0973716228375472,-0.9482002178500345,50,41,0.5494505494505495,0.45054945054945056,0.09890109890109894,0.9913716228375472,-1.0242002178500345,-0.03282859501248725
AAN,44.225,,3,26,26,0.5,0.5,1.0504892057240147,-1.3979149754098388,25,27,0.4807692307692308,0.5192307692307693,-0.03846153846153849,0.9984892057240147,-1.4499149754098388,-0.45142576968582415
IEX,158.525,,3,14,14,0.5,0.5,0.22953616275218694,-0.31853324790777393,12,16,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.20153616275218694,-0.34653324790777396,-0.144997085155587
ABT,93.9,,2,17,14,0.5483870967741935,0.45161290322580644,0.4152870178313132,-0.26273345132332443,17,14,0.5483870967741935,0.45161290322580644,0.09677419354838707,0.38128701783131325,-0.29073345132332445,0.09055356650798879
ABBV,97.8,,3,24,25,0.4897959183673469,0.5102040816326531,0.7304926760491738,-0.7487609509425958,24,25,0.4897959183673469,0.5102040816326531,-0.020408163265306145,0.6824926760491737,-0.7987609509425958,-0.11626827489342206
ANF,9.72,,3,25,24,0.5102040816326531,0.4897959183673469,1.5555249352072553,-1.4598087078906432,25,24,0.5102040816326531,0.4897959183673469,0.020408163265306145,1.5055249352072553,-1.5078087078906433,-0.0022837726833879746
AGD,9.23,,2,30,24,0.5555555555555556,0.4444444444444444,0.40333955344755457,-0.33457862938381644,27,27,0.5,0.5,0.0,0.34333955344755457,-0.3825786293838164,-0.03923907593626186
AWP,4.63,,3,24,24,0.5,0.5,0.4216652988004294,-0.5300849019003209,23,25,0.4791666666666667,0.5208333333333334,-0.041666666666666685,0.3736652988004294,-0.5780849019003209,-0.2044196030998915
ACP,9.49,,1,35,32,0.5223880597014925,0.47761194029850745,0.5227345210881921,-0.5543225956035361,31,36,0.4626865671641791,0.5373134328358209,-0.07462686567164178,0.45273452108819207,-0.6183225956035361,-0.16558807451534402
JEQ,7.56,,,,,,,,,,,,,,,,
AOD,7.865,,2,32,27,0.5423728813559322,0.4576271186440678,0.39217988578609997,-0.3864137674901251,27,32,0.4576271186440678,0.5423728813559322,-0.0847457627118644,0.32817988578609997,-0.4404137674901251,-0.11223388170402515
ABM,33.04,,3,20,23,0.46511627906976744,0.5348837209302325,0.7258463132495926,-0.5990006399371994,20,23,0.46511627906976744,0.5348837209302325,-0.06976744186046507,0.6858463132495926,-0.6450006399371995,0.04084567331239308
AKR,12.16,,3,24,36,0.4,0.6,0.5060467698836364,-1.0884597904364575,22,38,0.36666666666666664,0.6333333333333333,-0.26666666666666666,0.4580467698836364,-1.1604597904364575,-0.7024130205528212
ACEL,9.49,,,,,,,,,,,,,,,,
DEI,29.62,,3,26,17,0.6046511627906976,0.3953488372093023,0.4819126260764329,-0.35066673616764266,26,17,0.6046511627906976,0.3953488372093023,0.20930232558139533,0.42991262607643294,-0.3846667361676427,0.04524588990879025
ACCO,6.4,,3,27,28,0.4909090909090909,0.509090909090909,0.9771744703197768,-1.0115224038741528,27,28,0.4909090909090909,0.509090909090909,-0.018181818181818132,0.9231744703197767,-1.0675224038741529,-0.14434793355437614
ATV,15.2632,,,,,,,,,,,,,,,,
RDIB,15.55,,,,,,,,,,,,,,,,
GOLF,34.515,,,,,,,,,,,,,,,,
CTS,18.93,,,,,,,,,,,,,,,,
PEO,11.13,,3,26,24,0.52,0.48,0.49712509478171524,-0.5735254810075268,24,26,0.48,0.52,-0.040000000000000036,0.44512509478171525,-0.6215254810075268,-0.17640038622581156
ADCT,43.4,,,,,,,,,,,,,,,,
AGRO,4.308,,3,27,38,0.4153846153846154,0.5846153846153846,1.0739843749273283,-0.9789774812584879,27,38,0.4153846153846154,0.5846153846153846,-0.16923076923076924,1.0199843749273283,-1.054977481258488,-0.03499310633115971
